timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699446974357,3021,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,106326,1495,2,2,null,0,115,1547
1699446974448,2006,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,4595,769,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2004,0,1547
1699446976476,1015,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101731,726,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,736,0,0
1699446976348,1956,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,106333,1495,2,2,null,0,20,826
1699446976353,1120,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,4594,769,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1120,0,826
1699446977485,836,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,101739,726,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,514,0,0
1699446978348,2292,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,106312,1495,4,4,null,0,11,701
1699446978355,1147,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,4581,769,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1147,0,701
1699446979505,1145,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,101731,726,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,663,0,0
1699446980348,1440,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,106318,1495,4,4,null,0,4,446
1699446980349,766,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4587,769,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,766,0,446
1699446981117,674,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,101731,726,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,453,0,0
1699446982346,1367,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,106320,1495,5,5,null,0,6,446
1699446982348,765,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,4589,769,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,765,0,446
